,Adjusted Postcode,Unnamed: 0,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %,number of trips,number of stops,trips per stop,suburb
0,3002,93,5475,6188,6519,6904,7300,1825,17.97026502908856,6887,28,245.96428571428572,East Melbourne
31,3052,204,7898,9020,9640,10615,11559,3661,28.148558758314856,5266,51,103.25490196078431,Parkville
35,3057,38,11716,14933,16282,17791,19327,7611,29.424763945623788,6385,54,118.24074074074075,Brunswick East
38,3065,107,11259,12107,13059,13980,14970,3711,23.64747666639134,6619,44,150.4318181818182,Fitzroy
39,3066,69,9235,10988,11993,13212,14598,5363,32.854022570076445,3509,16,219.3125,Collingwood
40,3067,0,8770,11197,12103,13074,14263,5493,27.382334553898364,6089,22,276.77272727272725,Abbotsford
41,3068,108,13129,14019,14865,15733,16675,3546,18.94571652756973,9280,89,104.26966292134831,Clifton Hill
48,3083,151,11965,13109,14057,14826,15678,3713,19.59722328171485,17533,151,116.11258278145695,Bundoora
80,3151,47,10772,11722,13468,15131,16715,5943,42.5951202866405,6328,60,105.46666666666667,Burwood East
87,3166,138,8038,8639,9225,9801,10392,2354,20.29170042829031,13867,129,107.49612403100775,Hughesdale
